# Version: 5
# Coordinate system: NIftI-Aligned
# Created by: Brainstorm (nirstorm plugin)
# units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Index	Loc. X	Loc. Y	Loc. Z	Offset
E001	1	66.337456	43.355602	-33.670274	0.0
E002	2	61.536699	47.983598	-11.941308	0.0
E003	3	52.800620	50.038964	6.887998	0.0
E004	4	42.917770	49.486624	22.584771	0.0
E005	5	31.369645	42.231981	37.743600	0.0
E006	6	18.984996	30.502104	50.902788	0.0
E007	7	8.687350	16.300505	57.984782	0.0
E008	8	-2.714344	0.084267	61.956661	0.0
E009	9	-14.131715	-20.550326	62.379978	0.0
E010	10	55.707955	59.990838	-22.855002	0.0
E011	11	47.090475	64.360333	-3.068978	0.0
E012	12	34.777668	64.331938	16.257201	0.0
E013	13	21.994256	57.978912	30.600998	0.0
E014	14	9.355714	47.319142	45.042592	0.0
E015	15	-2.372801	33.187160	54.495805	0.0
E016	16	-13.835480	16.570993	58.362244	0.0
E017	17	-24.959614	-5.647692	59.023231	0.0
E018	18	37.399668	76.931467	-12.780237	0.0
E019	19	25.671118	77.959852	3.922647	0.0
E020	20	11.517511	72.559629	20.762240	0.0
E021	21	-1.993293	61.343068	33.711687	0.0
E022	22	-13.700271	47.388976	44.519171	0.0
E023	23	-23.636908	30.746203	50.046163	0.0
E024	24	-34.329561	10.420893	52.118750	0.0
E025	25	11.580673	86.043032	-8.859677	0.0
E026	26	-1.599719	82.414651	5.205364	0.0
E027	27	-15.049999	72.489270	20.191629	0.0
E028	28	-25.891458	58.184404	29.870380	0.0
E029	29	-35.388025	42.405696	36.258335	0.0
E030	30	-43.979152	24.121702	39.487080	0.0
E031	31	-1.374928	89.318868	-21.508173	0.0
E032	32	-14.538921	86.298329	-9.083271	0.0
E033	33	-28.818412	78.143258	3.283085	0.0
E034	34	-38.383780	64.873808	15.583659	0.0
E035	35	-46.377433	49.686445	20.993511	0.0
E036	36	-49.265859	34.977684	27.889086	0.0
E037	37	-40.544793	77.801506	-13.286752	0.0
E038	38	-50.482425	65.218721	-3.780896	0.0
E039	39	-55.976683	50.459766	5.392283	0.0
E040	40	-58.495474	35.505531	13.349896	0.0
E041	41	-57.507103	21.576160	24.660172	0.0
E042	42	-52.747843	8.187928	37.457776	0.0
E043	43	-46.721448	-5.950244	46.093474	0.0
E044	44	-37.684128	-23.012670	55.420212	0.0
E045	45	-22.840976	-41.487362	59.934507	0.0
E046	46	-59.290482	61.402982	-23.346556	0.0
E047	47	-64.431221	48.614064	-13.317471	0.0
E048	48	-68.190851	34.659215	-3.674821	0.0
E049	49	-68.657517	20.270995	7.375137	0.0
E050	50	-66.242222	6.114220	20.654239	0.0
E051	51	-60.597309	-8.561231	32.866657	0.0
E052	52	-53.870773	-24.275099	42.312665	0.0
E053	53	-39.986121	-44.757548	51.880740	0.0
E054	54	-69.716614	44.595082	-34.566774	0.0
E055	55	-71.312789	30.327947	-23.125270	0.0
E056	56	-74.686980	16.447301	-11.021555	0.0
E057	57	-75.314350	3.094560	3.345241	0.0
E058	58	-72.012196	-9.966622	16.177403	0.0
E059	59	-66.824612	-26.025350	28.865983	0.0
E060	60	-56.426453	-46.152598	39.721543	0.0
E061	61	-73.568320	22.879134	-43.601575	0.0
E062	62	-76.761922	9.753297	-30.008454	0.0
E063	63	-79.143355	-2.560441	-15.730068	0.0
E064	64	-78.829174	-14.248278	-2.438777	0.0
E065	65	-75.329758	-27.749843	12.404033	0.0
E066	66	-69.168669	-44.583175	22.869364	0.0
E067	67	-73.723607	14.581838	-61.810818	0.0
E068	68	-76.857525	4.436321	-47.582296	0.0
E069	69	-80.289889	-8.580401	-35.676888	0.0
E070	70	-81.315398	-21.026583	-20.554802	0.0
E071	71	-78.445831	-31.422094	-7.202426	0.0
E072	72	-75.194503	-43.240952	5.851848	0.0
E073	73	-72.257767	9.622311	-80.328731	0.0
E074	74	-80.485370	-27.528092	-39.201134	0.0
