Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto1_pre-stim_sw1,168.91,169.98,1.0,pre-stim,169.16,169.65,E3,-49.12784578899729
proto1_pre-stim_sw13,199.7,201.33,1.0,pre-stim,200.61,201.07,E12,-42.90874851673251
proto1_pre-stim_sw14,203.04,204.59,1.0,pre-stim,203.42,204.27,E12,-50.10252403668226
proto1_early-stim_sw1,273.76,275.65,1.0,early-stim,274.03,275.16,E1,-41.82448662687887
proto1_early-stim_sw11,281.11,282.08,1.0,early-stim,281.35,281.84,E11,-49.87617141717254
proto1_early-stim_sw12,371.34,372.4,1.0,early-stim,371.67,372.14,E11,-44.9048778602717
proto1_late-stim_sw1,460.18,461.87,1.0,late-stim,460.6,461.58,E2,-42.313468250064375
proto1_late-stim_sw11,468.94,469.97,1.0,late-stim,469.28,469.74,E31,-42.17602287941196
proto1_late-stim_sw12,474.61,476.18,1.0,late-stim,475.28,475.78,E31,-40.42396267249809
proto1_late-stim_sw16,483.22,484.88,1.0,late-stim,483.55,484.53,E37,-50.24005395833184
proto1_post-stim_sw1,545.35,546.51,1.0,post-stim,545.66,546.19,E1,-40.93792670811361
proto1_post-stim_sw10,672.11,673.47,1.0,post-stim,672.47,673.09,E4,-40.3054288648721
proto1_post-stim_sw21,681.24,683.07,1.0,post-stim,681.81,682.54,E10,-44.804015977980654
proto1_post-stim_sw22,699.95,701.52,1.0,post-stim,700.51,701.14,E10,-51.0539248511779
proto2_pre-stim_sw1,795.02,796.27,2.0,pre-stim,795.47,795.97,E19,-41.535451389818085
proto2_pre-stim_sw10,815.6,817.34,2.0,pre-stim,816.49,817.0,E27,-48.91773900906762
proto2_pre-stim_sw20,874.25,875.47,2.0,pre-stim,874.62,875.1,E37,-45.654323388514285
proto2_pre-stim_sw23,906.32,908.4,2.0,pre-stim,907.31,907.86,E46,-64.7232961581027
proto2_pre-stim_sw7,973.5,975.27,2.0,pre-stim,973.73,974.9,E25,-49.586377876990056
proto2_early-stim_sw1,1065.19,1066.67,2.0,early-stim,1065.51,1066.29,E5,-43.45918446899735
proto2_early-stim_sw15,1083.26,1084.27,2.0,early-stim,1083.55,1083.99,E31,-44.13182593940328
proto2_late-stim_sw1,1176.58,1178.23,2.0,late-stim,1176.94,1177.58,E8,-40.60628914900048
proto2_late-stim_sw10,1180.44,1181.48,2.0,late-stim,1180.7,1181.17,E18,-42.91699311143711
proto2_late-stim_sw4,1202.28,1203.38,2.0,late-stim,1202.55,1203.1,E10,-62.81053098079846
proto2_post-stim_sw1,1209.77,1211.14,2.0,post-stim,1210.18,1210.79,E1,-50.27156613300626
proto2_post-stim_sw10,1212.88,1214.52,2.0,post-stim,1213.6,1214.13,E3,-43.872404147656766
proto2_post-stim_sw100,1222.51,1223.92,2.0,post-stim,1222.91,1223.54,E23,-66.78859583085296
proto2_post-stim_sw101,1238.08,1239.52,2.0,post-stim,1238.38,1239.09,E23,-54.63797120375032
proto2_post-stim_sw122,1375.44,1376.94,2.0,post-stim,1376.07,1376.6,E26,-41.23890771505678
proto2_post-stim_sw155,1412.12,1413.37,2.0,post-stim,1412.47,1412.99,E31,-42.170034824674204
proto3_pre-stim_sw1,1580.72,1582.09,3.0,pre-stim,1581.14,1581.73,E1,-45.11235888823977
proto3_pre-stim_sw10,1631.98,1633.08,3.0,pre-stim,1632.23,1632.73,E10,-45.56275402960086
proto3_pre-stim_sw103,1635.03,1636.9,3.0,pre-stim,1635.61,1636.49,E67,-48.44655731500576
proto3_pre-stim_sw11,1660.36,1661.78,3.0,pre-stim,1660.65,1661.17,E10,-45.91803064561836
proto3_pre-stim_sw12,1671.0,1672.22,3.0,pre-stim,1671.34,1671.85,E10,-53.29760636769188
proto3_pre-stim_sw121,1676.53,1678.38,3.0,pre-stim,1676.88,1677.97,E119,-40.26629923503215
proto3_early-stim_sw1,1693.31,1695.01,3.0,early-stim,1694.18,1694.68,E1,-45.82751599569902
proto3_early-stim_sw10,1697.57,1699.1,3.0,early-stim,1697.9,1698.81,E4,-43.496715317989626
proto3_early-stim_sw101,1702.15,1703.82,3.0,early-stim,1702.61,1703.44,E37,-41.37866853624794
