Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto1_pre-stim_sw11,168.89,169.99,1.0,pre-stim,169.14,169.63,E11,-50.249223784445874
proto1_pre-stim_sw13,199.7,201.33,1.0,pre-stim,200.61,201.07,E12,-42.90874851673251
proto1_pre-stim_sw59,167.35,169.4,1.0,pre-stim,167.66,169.06,E72,-178.57134364845194
proto1_early-stim_sw10,273.76,275.45,1.0,early-stim,274.07,275.13,E11,-42.85149650585513
proto1_early-stim_sw11,281.11,282.08,1.0,early-stim,281.35,281.84,E11,-49.87617141717254
proto1_early-stim_sw38,292.34,294.01,1.0,early-stim,292.64,293.63,E55,-75.02857745123292
proto1_late-stim_sw1,460.18,461.87,1.0,late-stim,460.6,461.58,E2,-42.313468250064375
proto1_late-stim_sw11,468.94,469.97,1.0,late-stim,469.28,469.74,E31,-42.17602287941196
proto1_late-stim_sw14,412.56,414.26,1.0,late-stim,413.08,413.61,E37,-46.49479294944251
proto1_late-stim_sw7,459.88,461.94,1.0,late-stim,460.56,461.6,E18,-55.97948624177012
proto1_post-stim_sw1,545.35,546.51,1.0,post-stim,545.66,546.19,E1,-40.93792670811361
proto1_post-stim_sw104,545.84,547.31,1.0,post-stim,546.15,546.79,E109,-59.979199188725126
proto1_post-stim_sw21,681.24,683.07,1.0,post-stim,681.81,682.54,E10,-44.804015977980654
proto1_post-stim_sw76,517.05,518.8,1.0,post-stim,517.37,518.42,E37,-70.89036366130563
proto2_pre-stim_sw1,795.02,796.27,2.0,pre-stim,795.47,795.97,E19,-41.535451389818085
proto2_pre-stim_sw15,815.61,817.44,2.0,pre-stim,816.44,816.99,E33,-62.360266512805836
proto2_pre-stim_sw20,874.25,875.47,2.0,pre-stim,874.62,875.1,E37,-45.654323388514285
proto2_pre-stim_sw39,779.14,780.16,2.0,pre-stim,779.43,779.88,E243,-64.99202435755278
proto2_pre-stim_sw9,815.58,817.41,2.0,pre-stim,816.45,816.99,E26,-54.030802504718565
proto2_early-stim_sw12,1065.3,1066.67,2.0,early-stim,1065.59,1066.37,E29,-47.698585371173536
proto2_early-stim_sw45,1045.27,1046.88,2.0,early-stim,1045.59,1046.13,E119,-66.46615694141673
proto2_late-stim_sw1,1176.58,1178.23,2.0,late-stim,1176.94,1177.58,E8,-40.60628914900048
