Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto1_pre-stim_sw1,168.91,169.98,1.0,pre-stim,169.16,169.65,E3,-49.12784578899729
proto1_pre-stim_sw10,162.2,163.75,1.0,pre-stim,162.58,163.07,E10,-48.868771927377836
proto1_pre-stim_sw11,168.89,169.99,1.0,pre-stim,169.14,169.63,E11,-50.249223784445874
proto1_pre-stim_sw12,168.92,169.88,1.0,pre-stim,169.15,169.6,E12,-43.98692949451525
proto1_pre-stim_sw13,199.7,201.33,1.0,pre-stim,200.61,201.07,E12,-42.90874851673251
proto1_pre-stim_sw14,203.04,204.59,1.0,pre-stim,203.42,204.27,E12,-50.10252403668226
proto1_pre-stim_sw15,168.94,169.81,1.0,pre-stim,169.16,169.59,E13,-40.77223911978665
proto1_pre-stim_sw16,169.81,170.85,1.0,pre-stim,170.06,170.6,E13,-40.67575207624458
proto1_pre-stim_sw17,203.06,204.62,1.0,pre-stim,203.43,204.3,E13,-43.05943608947449
proto1_pre-stim_sw18,168.94,169.78,1.0,pre-stim,169.17,169.58,E14,-42.016670489929375
proto1_pre-stim_sw19,169.78,170.88,1.0,pre-stim,170.04,170.59,E14,-46.07088951909623
proto1_pre-stim_sw2,168.94,169.85,1.0,pre-stim,169.17,169.62,E4,-44.475789691142026
proto1_pre-stim_sw20,203.08,204.65,1.0,pre-stim,203.47,204.31,E14,-41.36634865244453
proto1_pre-stim_sw21,162.47,164.56,1.0,pre-stim,162.86,163.98,E15,-41.35834559310183
proto1_pre-stim_sw22,169.75,170.9,1.0,pre-stim,170.02,170.59,E15,-49.17301414860975
proto1_pre-stim_sw23,169.75,170.91,1.0,pre-stim,170.0,170.59,E16,-44.01951824073801
proto1_pre-stim_sw24,162.29,163.37,1.0,pre-stim,162.59,163.07,E18,-54.01670059313993
proto1_pre-stim_sw25,168.89,169.98,1.0,pre-stim,169.13,169.61,E18,-46.8575119548382
proto1_pre-stim_sw26,199.62,201.36,1.0,pre-stim,200.61,201.07,E18,-47.467611856712026
proto1_pre-stim_sw27,203.03,204.54,1.0,pre-stim,203.4,204.26,E18,-42.83800661752929
proto1_pre-stim_sw28,168.92,169.85,1.0,pre-stim,169.13,169.58,E19,-42.10006957508132
proto1_pre-stim_sw29,199.7,201.33,1.0,pre-stim,200.6,201.06,E19,-48.26144187772782
proto1_pre-stim_sw3,203.08,204.64,1.0,pre-stim,203.45,204.29,E4,-46.934264720990086
proto1_pre-stim_sw30,168.94,169.78,1.0,pre-stim,169.15,169.57,E21,-41.39913625963085
proto1_pre-stim_sw31,169.78,170.87,1.0,pre-stim,170.05,170.6,E21,-49.12160018087138
proto1_pre-stim_sw32,168.93,169.78,1.0,pre-stim,169.16,169.57,E22,-42.20364565867598
proto1_pre-stim_sw33,169.78,170.87,1.0,pre-stim,170.04,170.59,E22,-48.09183134288095
proto1_pre-stim_sw34,168.92,169.75,1.0,pre-stim,169.15,169.57,E23,-43.54468446952389
proto1_pre-stim_sw35,169.75,170.91,1.0,pre-stim,170.01,170.59,E23,-44.906389988555404
proto1_pre-stim_sw36,68.28,69.62,1.0,pre-stim,68.76,69.28,E25,-43.705854599542334
proto1_pre-stim_sw37,168.89,169.85,1.0,pre-stim,169.1,169.55,E25,-43.443636013897276
proto1_pre-stim_sw38,199.61,201.33,1.0,pre-stim,200.59,201.06,E25,-51.137785433132265
proto1_pre-stim_sw39,168.89,169.81,1.0,pre-stim,169.11,169.55,E26,-42.62881270129073
proto1_pre-stim_sw4,168.93,169.8,1.0,pre-stim,169.16,169.59,E5,-40.87331155081422
proto1_pre-stim_sw40,199.68,201.32,1.0,pre-stim,200.59,201.05,E26,-50.12841903971174
proto1_pre-stim_sw41,162.36,164.44,1.0,pre-stim,162.71,164.0,E27,-40.30562224953499
proto1_pre-stim_sw42,168.91,169.81,1.0,pre-stim,169.13,169.57,E27,-45.254287441585376
